Sample
CLO_S01_rep01_D14_Low
CLO_S01_rep02_D14_Low
CLO_S01_rep03_D14_Low
CLO_S01_rep04_D14_Low
CLO_S01_rep05_D14_Low
CLO_S01_rep06_D14_Low
CLO_S01_rep07_D14_Low
CLO_S01_rep08_D14_Low
CLO_S01_rep09_D14_Low
CLO_S01_rep10_D14_Low
CLO_S01_rep11_D14_Low
CLO_S01_rep12_D14_Low
CLO_S01_rep01_D14_High
CLO_S01_rep02_D14_High
CLO_S01_rep03_D14_High
CLO_S01_rep04_D14_High
CLO_S01_rep05_D14_High
CLO_S01_rep06_D14_High
CLO_S01_rep07_D14_High
CLO_S01_rep08_D14_High
CLO_S01_rep09_D14_High
CLO_S01_rep10_D14_High
CLO_S01_rep11_D14_High
CLO_S01_rep12_D14_High
CLO_S01_rep01_D14_ND
CLO_S01_rep02_D14_ND
CLO_S01_rep03_D14_ND
CLO_S01_rep04_D14_ND
CLO_S01_rep05_D14_ND
CLO_S01_rep06_D14_ND
CLO_S01_rep07_D14_ND
CLO_S01_rep08_D14_ND
CLO_S01_rep09_D14_ND
CLO_S01_rep10_D14_ND
CLO_S01_rep11_D14_ND
CLO_S01_rep12_D14_ND
ANC_S00_rep01_D00_Low
ANC_S00_rep02_D00_Low
ANC_S00_rep03_D00_Low
ANC_S00_rep01_D00_High
ANC_S00_rep02_D00_High
ANC_S00_rep03_D00_High
ANC_S00_rep01_D00_ND
ANC_S00_rep02_D00_ND
ANC_S00_rep03_D00_ND
