time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
11	300	0.09928	0.09976	0.09922	0.09984	0.09976	0.10064	0.09976	0.09886	0.09906	0.0987	0.09872	0.09938	0.09932	0.12474	0.15186	0.1466	0.1504	0.15074	0.23546	0.11524	0.11838	0.21358	0.09922	0.09944	0.09936	0.15902	0.15994	0.14406	0.1357	0.22952	0.20826	0.12096	0.12182	0.23236	0.09962	0.0997	0.09896	0.14366	0.21058	0.13346	0.17974	0.2259	0.20392	0.12456	0.1226	0.23016	0.10004	0.10008	0.10114	0.14802	0.16224	0.13544	0.13514	0.18972	0.2499	0.0995	0.10022	0.10052	0.10036	0.10062	0.09938	0.1449	0.14816	0.13928	0.13384	0.1934	0.23614	0.09902	0.10246	0.10008	0.10026	0.09904	0.0995	0.15112	0.22762	0.13232	0.21492	0.18678	0.19272	0.10072	0.10016	0.10078	0.1043	0.1014	0.09868	0.09846	0.09898	0.099	0.0988	0.09896	0.10294	0.10132	0.101	0.10006	0.1	0.10036
12	330	0.0992	0.09972	0.09916	0.09984	0.09976	0.10054	0.09974	0.09886	0.09902	0.09862	0.09866	0.09938	0.09938	0.12908	0.15952	0.15652	0.1521	0.16124	0.27514	0.11522	0.11798	0.24914	0.09928	0.09976	0.0993	0.16898	0.16718	0.14608	0.13618	0.26408	0.23662	0.12102	0.1217	0.27394	0.09958	0.09962	0.09894	0.15284	0.23802	0.13718	0.19766	0.26246	0.23658	0.12464	0.1223	0.27008	0.1	0.10014	0.10128	0.1585	0.17812	0.13804	0.14096	0.21416	0.2958	0.09952	0.10024	0.1005	0.1003	0.10064	0.09942	0.15094	0.1534	0.14028	0.13508	0.22024	0.27542	0.09902	0.10238	0.10004	0.10022	0.09902	0.0995	0.16014	0.2616	0.13424	0.24444	0.21186	0.2192	0.10074	0.10012	0.10074	0.10434	0.1014	0.09878	0.0984	0.099	0.09906	0.0988	0.099	0.10294	0.10142	0.10102	0.10002	0.1	0.10046
13	360	0.09922	0.09978	0.0992	0.09992	0.0998	0.10054	0.09972	0.09876	0.09892	0.09862	0.09868	0.09942	0.0993	0.13484	0.16892	0.16948	0.15422	0.17626	0.32656	0.11518	0.1179	0.29614	0.09914	0.0994	0.09932	0.1824	0.17718	0.14864	0.13738	0.30904	0.27488	0.1211	0.12162	0.32732	0.0995	0.0996	0.09892	0.16462	0.2708	0.14104	0.22144	0.30986	0.27902	0.12472	0.12214	0.32384	0.09996	0.09998	0.10138	0.1722	0.19896	0.14076	0.14864	0.24614	0.35196	0.09944	0.10016	0.10042	0.10028	0.10052	0.09948	0.15836	0.15994	0.14124	0.13662	0.257	0.32556	0.09896	0.10228	0.10002	0.1002	0.09902	0.09938	0.17238	0.30272	0.13628	0.28056	0.2453	0.25362	0.10064	0.10002	0.10068	0.10422	0.1012	0.09862	0.09836	0.09888	0.09892	0.09872	0.0989	0.1029	0.10128	0.10098	0.09998	0.09994	0.10044
14	390	0.09932	0.09992	0.0992	0.09996	0.09974	0.10054	0.09972	0.09876	0.09902	0.09862	0.0987	0.09948	0.09932	0.1432	0.18152	0.18734	0.15646	0.19706	0.38642	0.11526	0.1178	0.35532	0.09922	0.09966	0.09944	0.1999	0.18916	0.15122	0.13808	0.3646	0.32246	0.12126	0.12142	0.39352	0.09952	0.09968	0.09898	0.17976	0.3094	0.14602	0.2524	0.36612	0.33244	0.12498	0.12218	0.3893	0.10002	0.1003	0.10156	0.18966	0.22682	0.14376	0.15852	0.28868	0.4169	0.09942	0.10016	0.10044	0.10034	0.10062	0.09944	0.16816	0.1677	0.14184	0.13826	0.3053	0.38542	0.09898	0.10228	0.10002	0.10022	0.09902	0.09944	0.1875	0.35214	0.13874	0.32342	0.29134	0.29732	0.1007	0.1	0.10072	0.10432	0.10158	0.0987	0.09844	0.0989	0.09896	0.09878	0.09898	0.10296	0.10132	0.10102	0.10002	0.10002	0.10062
15	420	0.09946	0.09998	0.09922	0.09996	0.09994	0.10054	0.09982	0.09878	0.09902	0.09862	0.0987	0.0995	0.09936	0.15422	0.19712	0.21154	0.15912	0.22562	0.45616	0.11522	0.11784	0.42674	0.09916	0.0994	0.09938	0.22342	0.2049	0.1544	0.13904	0.43024	0.38242	0.12152	0.12116	0.47242	0.0995	0.09962	0.09898	0.19952	0.3543	0.15212	0.29176	0.43432	0.39814	0.12516	0.12216	0.46942	0.09998	0.10002	0.10164	0.21188	0.26346	0.14722	0.17088	0.34028	0.4968	0.09944	0.10014	0.10042	0.1003	0.10058	0.09932	0.18036	0.17744	0.14282	0.13994	0.3675	0.45822	0.09896	0.10236	0.1	0.10018	0.09902	0.0994	0.20724	0.4086	0.14142	0.37334	0.34962	0.3527	0.10068	0.10008	0.10068	0.1045	0.10164	0.09868	0.09836	0.09888	0.09898	0.0988	0.09894	0.10294	0.10138	0.10102	0.10002	0.09998	0.10068
16	450	0.09952	0.10002	0.09928	0.10014	0.09992	0.10066	0.09984	0.09878	0.09904	0.09862	0.09866	0.09956	0.09932	0.1697	0.21724	0.24436	0.16198	0.26176	0.5322	0.11536	0.11764	0.50976	0.09918	0.0994	0.09936	0.25408	0.22444	0.15776	0.14002	0.50614	0.45286	0.12172	0.12086	0.56312	0.09952	0.09966	0.09902	0.22622	0.40476	0.1597	0.34128	0.51222	0.47468	0.12554	0.1224	0.56098	0.1	0.10004	0.1017	0.2393	0.31072	0.15074	0.1871	0.40238	0.58778	0.09944	0.10018	0.10046	0.10034	0.10058	0.09952	0.19566	0.18978	0.14424	0.14232	0.4414	0.54274	0.09896	0.10234	0.1	0.10016	0.09902	0.09948	0.23226	0.47162	0.14432	0.43034	0.4198	0.41916	0.1007	0.10002	0.10064	0.10444	0.10172	0.09862	0.09842	0.09894	0.09894	0.09878	0.0989	0.10294	0.10132	0.10098	0.09994	0.1	0.10078
17	480	0.09938	0.09992	0.0993	0.1	0.09988	0.10058	0.09978	0.09878	0.09898	0.0986	0.09864	0.09966	0.09924	0.19022	0.243	0.2861	0.16506	0.3087	0.618	0.11544	0.11766	0.60736	0.09914	0.09928	0.09936	0.29452	0.24938	0.1617	0.14128	0.58978	0.534	0.12196	0.12078	0.66608	0.0995	0.09964	0.09892	0.25918	0.46162	0.16864	0.40056	0.60098	0.56342	0.1257	0.12192	0.66652	0.09996	0.1002	0.10168	0.27084	0.37038	0.15494	0.20874	0.4735	0.69316	0.0994	0.10008	0.10042	0.1003	0.10054	0.09942	0.21488	0.20538	0.14516	0.1446	0.5284	0.63678	0.0989	0.10234	0.09996	0.10016	0.09902	0.09938	0.26266	0.54194	0.1475	0.4939	0.50286	0.49792	0.10068	0.09992	0.10062	0.10438	0.10152	0.0986	0.09832	0.09884	0.0989	0.09872	0.0989	0.1029	0.10138	0.10092	0.09996	0.1	0.10064
18	510	0.09952	0.09998	0.09934	0.1001	0.09998	0.10066	0.09986	0.09876	0.09904	0.09858	0.0987	0.09976	0.0994	0.21776	0.27586	0.33878	0.1687	0.36652	0.71104	0.11566	0.11788	0.7149	0.09916	0.09932	0.09946	0.34552	0.2814	0.16608	0.1425	0.68342	0.62628	0.12234	0.1207	0.77868	0.09944	0.09966	0.09898	0.30134	0.5261	0.18056	0.4727	0.70032	0.6622	0.12596	0.122	0.78288	0.09996	0.10006	0.10178	0.30766	0.4421	0.15966	0.23756	0.55308	0.80528	0.09944	0.10014	0.10046	0.10032	0.10062	0.09966	0.23904	0.2248	0.1466	0.14724	0.6267	0.74244	0.09894	0.10242	0.1	0.10026	0.09904	0.09944	0.29948	0.61876	0.15092	0.5635	0.59674	0.58716	0.10066	0.10002	0.10062	0.10452	0.1018	0.09864	0.09836	0.09888	0.09886	0.09876	0.09892	0.10302	0.10146	0.101	0.1	0.10002	0.10088
19	540	0.09944	0.09984	0.0994	0.10008	0.10008	0.10058	0.09986	0.09876	0.09902	0.09862	0.0989	0.10034	0.0994	0.25286	0.31712	0.40204	0.17232	0.43578	0.8056	0.11576	0.11784	0.82992	0.09916	0.0995	0.09966	0.40782	0.32108	0.17084	0.14396	0.78162	0.7247	0.123	0.12104	0.89214	0.09952	0.09964	0.09902	0.35198	0.59588	0.19514	0.5552	0.80154	0.77026	0.12634	0.12196	0.89686	0.09994	0.1	0.1019	0.34786	0.52536	0.1646	0.27492	0.64034	0.90686	0.09942	0.1002	0.1004	0.10028	0.10058	0.0996	0.2677	0.24902	0.14772	0.14988	0.73068	0.85012	0.09894	0.1024	0.09996	0.1002	0.09902	0.09938	0.3414	0.70206	0.15436	0.63968	0.70158	0.68516	0.10062	0.09992	0.10062	0.10434	0.10162	0.09858	0.09842	0.09884	0.0989	0.09874	0.09888	0.10298	0.10144	0.10102	0.09998	0.10004	0.101
20	570	0.09952	0.09998	0.09948	0.10032	0.10006	0.10072	0.09988	0.09876	0.09894	0.09852	0.09866	0.09978	0.09934	0.29582	0.36716	0.47708	0.1762	0.51562	0.89996	0.11586	0.11784	0.939	0.09904	0.0994	0.09938	0.47916	0.36906	0.1759	0.14498	0.87498	0.82494	0.12304	0.12076	0.99716	0.09942	0.0996	0.0989	0.41076	0.67012	0.2139	0.64826	0.89812	0.88216	0.1266	0.12188	1.00052	0.0999	0.09998	0.10194	0.39208	0.61772	0.17024	0.32248	0.72904	0.9986	0.09938	0.10012	0.10038	0.10026	0.10048	0.09958	0.30158	0.27846	0.1488	0.15274	0.83506	0.94906	0.0989	0.10232	0.09994	0.10016	0.099	0.0993	0.38962	0.78844	0.15826	0.72004	0.8088	0.78996	0.10056	0.09992	0.10062	0.10438	0.10148	0.09852	0.09836	0.09878	0.09886	0.09872	0.0989	0.10294	0.10128	0.10094	0.09992	0.09998	0.10104
