time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
11	300	0.0959	0.09576	0.09582	0.09484	0.09556	0.09546	0.09602	0.0979	0.09532	0.09672	0.09712	0.09686	0.09548	0.19364	0.18282	0.21204	0.19876	0.2297	0.19446	0.21698	0.19252	0.20072	0.09584	0.09558	0.09632	0.17426	0.1896	0.1935	0.22358	0.201	0.21564	0.21788	0.19134	0.1986	0.09576	0.09568	0.09526	0.19558	0.1948	0.22288	0.21642	0.2193	0.21314	0.19988	0.19042	0.19416	0.096	0.0958	0.09538	0.206	0.17856	0.21802	0.21418	0.21654	0.20698	0.09544	0.09594	0.09604	0.09608	0.09662	0.09542	0.20786	0.18998	0.21216	0.24018	0.22204	0.22366	0.09638	0.09604	0.09598	0.09746	0.09844	0.09566	0.19268	0.19664	0.1896	0.20644	0.1898	0.1952	0.09588	0.0956	0.0972	0.09742	0.09664	0.09466	0.09548	0.0967	0.09646	0.09498	0.09484	0.09494	0.09492	0.095	0.09662	0.09658	0.09546
12	330	0.09588	0.09574	0.09582	0.0948	0.09556	0.09546	0.096	0.09794	0.09534	0.09668	0.0971	0.0969	0.09542	0.22598	0.21186	0.24902	0.2305	0.27444	0.22802	0.25548	0.22298	0.2342	0.09578	0.09584	0.09634	0.19716	0.22056	0.22356	0.26338	0.23722	0.25594	0.25734	0.22122	0.23056	0.09578	0.0957	0.09524	0.22818	0.22776	0.2606	0.25508	0.2614	0.25294	0.23376	0.21922	0.2269	0.09596	0.09574	0.09534	0.24252	0.20468	0.25678	0.25198	0.2575	0.24502	0.09548	0.09604	0.09608	0.09608	0.09664	0.09546	0.24464	0.22158	0.2473	0.285	0.2647	0.26678	0.09638	0.09604	0.09598	0.09764	0.09842	0.0957	0.22434	0.23026	0.21856	0.24188	0.222	0.22736	0.09586	0.09556	0.09722	0.09736	0.09656	0.09476	0.0956	0.09672	0.09648	0.09496	0.09484	0.09494	0.09496	0.09502	0.09672	0.0966	0.09552
13	360	0.09586	0.0958	0.09578	0.09474	0.09556	0.09542	0.0961	0.09816	0.09528	0.09666	0.09704	0.0968	0.09542	0.2679	0.25092	0.29364	0.27094	0.33166	0.27306	0.30606	0.26144	0.2793	0.09566	0.09554	0.09636	0.22916	0.26116	0.2611	0.31146	0.28442	0.30828	0.30912	0.26082	0.27474	0.0957	0.09564	0.0952	0.27136	0.2723	0.30638	0.30426	0.31558	0.3056	0.2762	0.25638	0.26978	0.09598	0.09568	0.09532	0.29068	0.2401	0.30484	0.29914	0.3112	0.29456	0.0954	0.09594	0.096	0.09608	0.09662	0.09536	0.29264	0.26446	0.2913	0.3397	0.31888	0.32306	0.09634	0.09602	0.09594	0.09736	0.09838	0.09556	0.26592	0.27486	0.2548	0.28616	0.26504	0.2701	0.09586	0.0955	0.09714	0.09736	0.0965	0.09462	0.09546	0.09664	0.09644	0.0949	0.0948	0.0949	0.0949	0.09492	0.09682	0.09654	0.09544
14	390	0.0958	0.09576	0.09584	0.0948	0.0955	0.0954	0.09604	0.09802	0.09526	0.09664	0.09704	0.0968	0.09542	0.32184	0.30198	0.34538	0.31802	0.40342	0.33166	0.36578	0.30674	0.3372	0.0957	0.09558	0.09616	0.2708	0.31408	0.30558	0.36796	0.34512	0.3748	0.37238	0.30756	0.3302	0.0957	0.09574	0.0952	0.32816	0.32926	0.35998	0.3626	0.38604	0.37178	0.3283	0.29926	0.32538	0.09596	0.09574	0.0953	0.35136	0.28678	0.36194	0.35402	0.3788	0.35728	0.0954	0.09596	0.09604	0.09604	0.0966	0.0954	0.35452	0.31962	0.34278	0.40306	0.3885	0.3932	0.09636	0.09602	0.09598	0.09712	0.09844	0.09564	0.32076	0.33254	0.29866	0.33888	0.32352	0.32748	0.09584	0.09556	0.09724	0.09742	0.09658	0.09468	0.0955	0.09672	0.09646	0.09498	0.09488	0.09492	0.09494	0.09504	0.09686	0.09658	0.09548
15	420	0.09588	0.09566	0.09576	0.09476	0.09552	0.09552	0.0961	0.09808	0.0953	0.09668	0.09704	0.09682	0.09542	0.38716	0.36652	0.40194	0.37186	0.49056	0.40488	0.43748	0.35856	0.40892	0.09572	0.0955	0.09636	0.32278	0.37972	0.35534	0.42902	0.4198	0.45516	0.44902	0.36222	0.4007	0.09572	0.09562	0.09524	0.39804	0.40038	0.41816	0.42682	0.469	0.45352	0.3907	0.3491	0.3946	0.09594	0.09566	0.0953	0.4267	0.34706	0.42568	0.41554	0.46144	0.43474	0.09548	0.096	0.09604	0.09608	0.09662	0.09542	0.42902	0.38926	0.39926	0.47158	0.47204	0.47778	0.09636	0.09604	0.09596	0.09738	0.09844	0.0956	0.38796	0.40308	0.34776	0.3969	0.39476	0.3986	0.09582	0.09562	0.09718	0.0974	0.09656	0.09462	0.09554	0.09672	0.0964	0.09494	0.09486	0.09494	0.0949	0.09494	0.0969	0.0966	0.09552
16	450	0.09588	0.09578	0.09588	0.0948	0.0955	0.09552	0.09604	0.0981	0.09528	0.09664	0.09714	0.09676	0.09542	0.46392	0.44438	0.45944	0.42828	0.5904	0.4926	0.51828	0.41208	0.49346	0.09572	0.09574	0.09638	0.3859	0.45838	0.40654	0.49134	0.50824	0.54858	0.5359	0.42104	0.48472	0.0957	0.09564	0.09526	0.48164	0.48558	0.47722	0.49498	0.56754	0.5501	0.4608	0.40104	0.47676	0.09598	0.09576	0.09532	0.51434	0.41894	0.49178	0.47848	0.55766	0.52538	0.09538	0.096	0.09606	0.09602	0.09664	0.09544	0.5169	0.47184	0.45776	0.54178	0.57058	0.57658	0.09638	0.09606	0.09604	0.09722	0.09842	0.0956	0.4674	0.48712	0.4004	0.45682	0.48172	0.485	0.09588	0.09558	0.0972	0.09742	0.09656	0.0946	0.09552	0.0967	0.09646	0.09498	0.0949	0.09494	0.09488	0.09498	0.09766	0.09658	0.09548
17	480	0.09592	0.09582	0.09598	0.09484	0.09552	0.0955	0.09612	0.09816	0.09528	0.09664	0.09714	0.09684	0.09546	0.55136	0.53676	0.51524	0.48518	0.70418	0.5953	0.60914	0.46636	0.59222	0.09574	0.09586	0.09648	0.45952	0.55016	0.45786	0.55292	0.61136	0.65678	0.63416	0.48074	0.58336	0.09572	0.09568	0.09522	0.5786	0.58462	0.53496	0.56306	0.67968	0.65996	0.53764	0.45258	0.5731	0.09596	0.09574	0.09536	0.61468	0.50448	0.55752	0.54138	0.66794	0.6306	0.09546	0.09604	0.09612	0.09602	0.09668	0.09544	0.61578	0.5682	0.51556	0.6098	0.68172	0.68922	0.09636	0.096	0.09594	0.09732	0.09842	0.09554	0.56044	0.58458	0.45174	0.51588	0.58402	0.58572	0.09584	0.09556	0.09724	0.09744	0.09652	0.09458	0.09546	0.0967	0.0964	0.09502	0.0949	0.095	0.0949	0.095	0.09658	0.09664	0.09556
18	510	0.096	0.09586	0.09596	0.09486	0.0956	0.09558	0.09624	0.09826	0.0953	0.09676	0.0971	0.09688	0.0955	0.6466	0.63984	0.5672	0.5401	0.81992	0.7085	0.70618	0.51746	0.70194	0.0957	0.09558	0.09642	0.5434	0.65282	0.50642	0.60954	0.72608	0.77344	0.7408	0.54012	0.69584	0.09576	0.09582	0.09528	0.68574	0.69518	0.58888	0.6273	0.7977	0.77894	0.62074	0.50322	0.68048	0.09598	0.09576	0.0953	0.72488	0.6015	0.61908	0.60026	0.78624	0.74472	0.09538	0.09604	0.09612	0.09602	0.09666	0.09542	0.72376	0.67658	0.56886	0.67394	0.79998	0.80956	0.09646	0.09606	0.09594	0.09732	0.09846	0.09562	0.66226	0.6923	0.5015	0.57148	0.69708	0.69758	0.09586	0.09562	0.0972	0.09746	0.09656	0.09454	0.09548	0.0967	0.09638	0.09498	0.0949	0.09492	0.09488	0.09498	0.09676	0.09664	0.09558
19	540	0.096	0.09584	0.0959	0.0948	0.09556	0.09554	0.0963	0.09826	0.09532	0.09664	0.09716	0.09678	0.09542	0.74364	0.74928	0.61446	0.59028	0.92958	0.82476	0.80774	0.56632	0.8178	0.09572	0.0955	0.09648	0.63328	0.76358	0.55156	0.66086	0.84362	0.88658	0.85058	0.59466	0.81266	0.09566	0.09562	0.09516	0.7954	0.80854	0.63684	0.6866	0.91016	0.89394	0.70646	0.55138	0.79718	0.09586	0.09568	0.09524	0.83514	0.70708	0.67474	0.65426	0.89976	0.86146	0.09538	0.09596	0.09602	0.09596	0.09654	0.09544	0.83036	0.78674	0.61834	0.73102	0.91304	0.92166	0.09634	0.09598	0.096	0.0972	0.0984	0.09552	0.77	0.80376	0.54746	0.62238	0.81526	0.81312	0.09576	0.09554	0.09714	0.09738	0.09648	0.09454	0.09546	0.09672	0.09634	0.09488	0.09478	0.09484	0.09486	0.09496	0.09646	0.09666	0.0955
20	570	0.09608	0.0959	0.09604	0.09482	0.09564	0.0956	0.09634	0.09828	0.09532	0.0967	0.0972	0.09682	0.09552	0.8346	0.85512	0.65584	0.63492	1.02312	0.93212	0.90846	0.60962	0.92784	0.09568	0.09558	0.0964	0.72444	0.87234	0.59148	0.70606	0.95228	0.988	0.9551	0.64486	0.92428	0.0957	0.09574	0.09524	0.8979	0.91354	0.67908	0.73738	1.0099	0.99654	0.7949	0.59512	0.9129	0.0959	0.09574	0.09536	0.93604	0.8147	0.72426	0.70188	1.00136	0.96872	0.09546	0.09598	0.09612	0.0961	0.09672	0.09552	0.92752	0.89072	0.66198	0.78136	1.0126	1.02224	0.09646	0.09604	0.09602	0.0973	0.09844	0.0956	0.87042	0.9082	0.58812	0.66684	0.92634	0.92074	0.0959	0.09562	0.09714	0.09748	0.09658	0.09454	0.09548	0.09676	0.09636	0.09496	0.09492	0.09498	0.09494	0.09504	0.09658	0.09666	0.09558
