time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
11	300	0.0993	0.09956	0.10016	0.09986	0.09996	0.1002	0.10068	0.10154	0.101	0.101	0.10168	0.10014	0.10044	0.21138	0.19926	0.19222	0.19484	0.21036	0.20402	0.19828	0.18648	0.1906	0.1006	0.10372	0.09942	0.18334	0.2047	0.21908	0.19378	0.19422	0.1865	0.2385	0.23762	0.2382	0.10138	0.10106	0.09948	0.19686	0.18378	0.2235	0.19762	0.20868	0.19958	0.23968	0.22914	0.24522	0.10098	0.10062	0.09962	0.17816	0.16836	0.21232	0.17608	0.19392	0.16478	0.1011	0.10204	0.10096	0.10076	0.10056	0.10008	0.18312	0.20622	0.1913	0.17836	0.17086	0.18254	0.10032	0.10296	0.10148	0.10102	0.10242	0.09944	0.18008	0.17698	0.17924	0.18504	0.1868	0.18012	0.10128	0.1013	0.10108	0.10222	0.1026	0.09946	0.10012	0.10054	0.09986	0.10022	0.10008	0.10052	0.10522	0.10068	0.10038	0.10176	0.10016
12	330	0.09936	0.09956	0.10004	0.0998	0.09996	0.10014	0.10066	0.10158	0.10088	0.10102	0.10162	0.10018	0.10022	0.238	0.22468	0.21572	0.21852	0.23764	0.22978	0.22936	0.21218	0.21846	0.10056	0.10372	0.09942	0.20374	0.23266	0.24968	0.21898	0.21696	0.20808	0.28194	0.2768	0.2823	0.10146	0.10102	0.09948	0.22308	0.2056	0.2565	0.22342	0.2376	0.22654	0.2823	0.26578	0.29108	0.10092	0.10054	0.09958	0.19818	0.18544	0.24204	0.19608	0.21794	0.18176	0.10106	0.10186	0.1008	0.10074	0.10052	0.10004	0.20376	0.23632	0.21534	0.19898	0.18854	0.20384	0.10026	0.10284	0.10138	0.10092	0.1023	0.09928	0.2015	0.1965	0.20008	0.20758	0.20862	0.19934	0.10116	0.10106	0.10102	0.1021	0.10234	0.0993	0.09988	0.1003	0.09964	0.10006	0.09982	0.10042	0.10504	0.1005	0.10026	0.10162	0.09996
13	360	0.09918	0.09942	0.09992	0.09964	0.09982	0.09994	0.1005	0.10136	0.10074	0.10078	0.10152	0.09998	0.10012	0.27212	0.25702	0.24568	0.24944	0.27296	0.2623	0.27	0.24414	0.25618	0.10046	0.10364	0.09926	0.22908	0.2696	0.28808	0.25248	0.24692	0.23682	0.33914	0.3235	0.33924	0.10126	0.1009	0.09936	0.25756	0.23526	0.2997	0.2568	0.2748	0.26134	0.33718	0.31032	0.34988	0.10084	0.10034	0.09948	0.22408	0.20846	0.27948	0.22296	0.24936	0.20442	0.101	0.1018	0.10078	0.10064	0.10182	0.09988	0.22956	0.27638	0.24674	0.22702	0.21216	0.23268	0.10012	0.10278	0.10134	0.10082	0.10206	0.09928	0.22972	0.22224	0.22738	0.23716	0.23672	0.22518	0.101	0.1011	0.101	0.10214	0.10238	0.09926	0.09996	0.1003	0.09964	0.1	0.09982	0.10026	0.10496	0.10064	0.10018	0.10192	0.10032
14	390	0.09926	0.09948	0.10004	0.0998	0.09996	0.09996	0.10058	0.10152	0.1008	0.10084	0.10152	0.10006	0.10014	0.31646	0.29724	0.28448	0.28848	0.31656	0.30386	0.32352	0.2819	0.3066	0.10046	0.10334	0.09926	0.25928	0.31586	0.33264	0.29528	0.28484	0.27406	0.40932	0.37666	0.41048	0.1012	0.10094	0.09936	0.30018	0.2708	0.35076	0.29784	0.3212	0.3044	0.40546	0.3612	0.42344	0.10082	0.10048	0.09956	0.25566	0.23704	0.32622	0.2547	0.28806	0.2331	0.10102	0.1018	0.10082	0.10056	0.1005	0.1	0.26084	0.32494	0.28568	0.26172	0.24068	0.26888	0.1001	0.10276	0.10136	0.10076	0.1022	0.09928	0.26462	0.2553	0.26058	0.27502	0.27102	0.25848	0.10116	0.10118	0.10094	0.10212	0.10242	0.0993	0.09988	0.10034	0.0998	0.10016	0.09992	0.10046	0.10504	0.10068	0.10034	0.10168	0.10012
15	420	0.0991	0.09932	0.09992	0.09966	0.09972	0.09988	0.1005	0.10138	0.10082	0.10078	0.10144	0.1	0.09996	0.37026	0.34656	0.332	0.33594	0.36916	0.35432	0.38882	0.32382	0.36932	0.10034	0.10342	0.09914	0.29414	0.37128	0.3876	0.34736	0.32998	0.31996	0.49184	0.43282	0.49434	0.10132	0.1008	0.09922	0.351	0.31514	0.41256	0.34788	0.37646	0.357	0.48598	0.41458	0.5096	0.10068	0.10032	0.09944	0.29444	0.2731	0.3813	0.29474	0.3349	0.26942	0.10092	0.10166	0.1006	0.10058	0.10032	0.0998	0.29606	0.38462	0.33316	0.30616	0.27704	0.31518	0.10008	0.10262	0.1012	0.1007	0.10208	0.09914	0.30682	0.29458	0.30126	0.32148	0.3119	0.2995	0.10108	0.10102	0.10092	0.10202	0.10238	0.0993	0.09982	0.10026	0.09966	0.10004	0.09992	0.10032	0.10492	0.1005	0.1003	0.10168	0.0999
16	450	0.09924	0.09942	0.09994	0.09976	0.09986	0.09998	0.10064	0.10158	0.10098	0.1009	0.10156	0.10004	0.10016	0.43536	0.4048	0.38908	0.39382	0.43172	0.41406	0.46734	0.36856	0.44548	0.1004	0.1034	0.0993	0.33394	0.43802	0.45246	0.41106	0.38556	0.37586	0.58866	0.49218	0.59392	0.10124	0.1009	0.09942	0.41138	0.36888	0.48566	0.40788	0.44206	0.41946	0.5799	0.46952	0.61098	0.10086	0.10048	0.0995	0.33908	0.31634	0.44682	0.34216	0.39156	0.31336	0.1009	0.10182	0.1007	0.10058	0.1005	0.09998	0.33798	0.45618	0.38798	0.36074	0.3211	0.37118	0.1002	0.10274	0.10134	0.10078	0.10226	0.09928	0.3584	0.34306	0.35018	0.3767	0.35958	0.34864	0.10104	0.1011	0.10088	0.10192	0.10226	0.09924	0.0998	0.10024	0.09958	0.10002	0.09982	0.10032	0.10494	0.10046	0.10028	0.10166	0.09986
17	480	0.09912	0.0993	0.0999	0.09986	0.09988	0.09984	0.10058	0.10156	0.10084	0.10098	0.10146	0.09996	0.1	0.51836	0.47248	0.4552	0.46054	0.5033	0.4824	0.55906	0.41416	0.53578	0.10044	0.10344	0.0992	0.37936	0.51646	0.52434	0.48674	0.45126	0.44248	0.69644	0.54956	0.70536	0.10112	0.1009	0.09932	0.48036	0.43086	0.5688	0.47728	0.51812	0.4912	0.6859	0.52394	0.72474	0.1008	0.10038	0.09948	0.39162	0.36708	0.52122	0.39768	0.45646	0.36534	0.10102	0.10178	0.10074	0.10068	0.10032	0.09982	0.38392	0.53764	0.45148	0.4258	0.37298	0.43784	0.10004	0.10256	0.10124	0.10076	0.1022	0.09922	0.4183	0.39842	0.40536	0.44188	0.4134	0.40646	0.10104	0.10106	0.10094	0.10202	0.10234	0.09936	0.09984	0.10028	0.09974	0.10002	0.09992	0.10036	0.105	0.10058	0.10028	0.1016	0.0999
18	510	0.0992	0.0995	0.10002	0.09984	0.09992	0.09998	0.10058	0.10162	0.10112	0.10106	0.10162	0.10006	0.10014	0.6229	0.54926	0.53122	0.5374	0.58498	0.56074	0.66152	0.45986	0.63692	0.1005	0.1036	0.09938	0.43264	0.60542	0.60578	0.57372	0.52746	0.51942	0.80954	0.60262	0.81824	0.10136	0.10102	0.09954	0.55984	0.50312	0.66298	0.55604	0.60514	0.5725	0.79734	0.57428	0.83892	0.10098	0.10058	0.09962	0.45108	0.42516	0.6043	0.46118	0.52994	0.42584	0.1009	0.1017	0.1007	0.10054	0.10032	0.09986	0.43654	0.63132	0.52362	0.50226	0.43318	0.51428	0.10008	0.1027	0.10126	0.10078	0.10212	0.0992	0.4869	0.46262	0.46888	0.51586	0.47464	0.47274	0.10098	0.10108	0.1009	0.102	0.10228	0.09938	0.09984	0.10034	0.09964	0.09998	0.0999	0.10032	0.10492	0.10062	0.1002	0.1016	0.09996
19	540	0.09924	0.09944	0.09994	0.09994	0.09994	0.09994	0.1008	0.1018	0.10128	0.101	0.10158	0.10008	0.1002	0.59362	0.6366	0.61582	0.62354	0.6751	0.64724	0.76888	0.50206	0.74168	0.10048	0.10338	0.09946	0.49244	0.70466	0.6966	0.67198	0.61558	0.60778	0.91482	0.64998	0.92318	0.10134	0.101	0.09942	0.6478	0.58416	0.7659	0.6443	0.70118	0.66274	0.90212	0.61894	0.94342	0.10092	0.10048	0.0996	0.51698	0.4913	0.69628	0.53362	0.61238	0.49482	0.10102	0.10188	0.10092	0.10072	0.10054	0.1001	0.4926	0.73398	0.60372	0.59008	0.50282	0.60372	0.10028	0.10284	0.10144	0.10098	0.10224	0.0995	0.56572	0.53748	0.5398	0.60088	0.54222	0.54878	0.10122	0.1013	0.1012	0.10228	0.10246	0.0994	0.10008	0.10044	0.09982	0.10026	0.1001	0.10052	0.10518	0.10074	0.10048	0.10184	0.1002
20	570	0.09906	0.0993	0.09984	0.09976	0.09984	0.09978	0.10066	0.10156	0.10112	0.10094	0.10156	0.10016	0.10008	0.70158	0.73312	0.709	0.71818	0.77144	0.7419	0.8687	0.5409	0.84124	0.10036	0.10348	0.09932	0.56262	0.811	0.7994	0.78026	0.715	0.70622	1.00782	0.69074	1.01614	0.1012	0.1009	0.09938	0.74436	0.67424	0.87488	0.7399	0.80692	0.76094	0.99544	0.65666	1.03606	0.10084	0.10044	0.09944	0.5891	0.56692	0.79642	0.61408	0.70334	0.57458	0.10102	0.10178	0.10082	0.10062	0.10036	0.09994	0.55594	0.84424	0.69062	0.68602	0.5798	0.70166	0.10018	0.1027	0.10124	0.10076	0.10208	0.0992	0.65316	0.62162	0.61836	0.69586	0.61694	0.63482	0.1011	0.1011	0.10092	0.10208	0.10236	0.09936	0.09986	0.10038	0.09962	0.10008	0.09982	0.10034	0.10508	0.10056	0.1003	0.10162	0.09996
