time	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
11	300	0.09846	0.10284	0.09918	0.09852	0.1075	0.09856	0.09872	0.09818	0.09868	0.09962	0.10052	0.10048	0.09912	0.15216	0.14564	0.11604	0.12546	0.35168	0.26132	0.12392	0.128	0.2624	0.10006	0.10026	0.09956	0.13826	0.12868	0.13112	0.12552	0.23394	0.21644	0.12848	0.13124	0.2534	0.09884	0.09896	0.09868	0.13988	0.13454	0.12236	0.12386	0.18712	0.19962	0.1287	0.14102	0.26162	0.0992	0.1002	0.0982	0.23526	0.1426	0.14402	0.1419	0.2688	0.23944	0.09846	0.09866	0.09884	0.09876	0.09974	0.09838	0.16576	0.14946	0.12944	0.1393	0.2569	0.23038	0.09892	0.09828	0.10158	0.09882	0.09984	0.09848	0.166	0.14662	0.13124	0.12658	0.23364	0.21096	0.09934	0.09886	0.1002	0.09924	0.09978	0.09846	0.09928	0.09918	0.09842	0.0991	0.09804	0.09822	0.09818	0.09878	0.09894	0.09956	0.09814
12	330	0.09842	0.10274	0.09906	0.09848	0.1073	0.09856	0.09868	0.09814	0.09856	0.09962	0.10046	0.10068	0.09916	0.15778	0.15012	0.11612	0.12564	0.42336	0.3139	0.12396	0.12768	0.31356	0.09998	0.1002	0.0995	0.14284	0.13252	0.1316	0.12518	0.2722	0.2545	0.12834	0.13088	0.30228	0.09878	0.09894	0.09876	0.14436	0.13914	0.12268	0.1239	0.21342	0.23022	0.12864	0.14064	0.31268	0.09912	0.10016	0.09826	0.27456	0.14698	0.14996	0.14236	0.32064	0.2814	0.09848	0.09862	0.09884	0.09876	0.0997	0.09844	0.18048	0.1566	0.13104	0.13966	0.30752	0.26948	0.09886	0.09824	0.10154	0.09888	0.09986	0.0985	0.17782	0.15268	0.13272	0.12672	0.27468	0.24358	0.09938	0.09884	0.10014	0.09928	0.09972	0.09844	0.0992	0.09918	0.09838	0.09914	0.09798	0.0982	0.09844	0.0988	0.099	0.0996	0.0982
13	360	0.0984	0.10254	0.09902	0.09852	0.10726	0.0986	0.09866	0.09822	0.09862	0.09962	0.10048	0.1009	0.0992	0.16342	0.15602	0.11618	0.12588	0.50182	0.3786	0.12404	0.12738	0.3776	0.10008	0.10024	0.09924	0.14832	0.13718	0.1325	0.1247	0.32262	0.30334	0.12844	0.1309	0.36352	0.09888	0.09894	0.09878	0.1494	0.14462	0.12318	0.12448	0.2483	0.27106	0.12876	0.1404	0.3766	0.09918	0.10016	0.09824	0.32488	0.15222	0.15746	0.1431	0.3836	0.3352	0.09844	0.09862	0.09874	0.09874	0.09962	0.09842	0.2005	0.16536	0.13314	0.14046	0.37114	0.32052	0.09888	0.09822	0.10154	0.0988	0.09984	0.09846	0.1933	0.16032	0.13458	0.12718	0.3277	0.28718	0.0994	0.09882	0.10022	0.09924	0.0998	0.09842	0.09922	0.09918	0.0984	0.09916	0.09804	0.09816	0.09824	0.09882	0.09902	0.0996	0.09818
14	390	0.09852	0.10312	0.09918	0.0987	0.10718	0.09874	0.09878	0.09834	0.0987	0.09964	0.10052	0.10088	0.09932	0.1708	0.16336	0.1164	0.1264	0.59408	0.4552	0.12428	0.12692	0.45586	0.10006	0.10028	0.09934	0.15512	0.14308	0.1334	0.12506	0.3872	0.36644	0.12868	0.1311	0.43888	0.09886	0.09902	0.09878	0.15568	0.15134	0.12382	0.12516	0.29474	0.32498	0.12894	0.14022	0.45408	0.09922	0.10024	0.09826	0.38606	0.15892	0.167	0.14408	0.4579	0.40266	0.0985	0.09868	0.09884	0.0988	0.09976	0.09856	0.22774	0.17654	0.13596	0.14154	0.44854	0.38438	0.09896	0.09832	0.10164	0.09888	0.09988	0.09858	0.21316	0.1697	0.1368	0.12794	0.39436	0.34476	0.09946	0.09888	0.10024	0.09928	0.09976	0.09842	0.09922	0.09916	0.09838	0.0992	0.09804	0.0983	0.09824	0.09892	0.09914	0.0997	0.09826
15	420	0.09858	0.10312	0.09924	0.09888	0.1073	0.0988	0.0988	0.0984	0.09872	0.0997	0.10066	0.10166	0.09942	0.17856	0.17162	0.11666	0.12678	0.6936	0.54466	0.1246	0.12706	0.54732	0.10012	0.10038	0.09942	0.16328	0.14976	0.13446	0.12468	0.46464	0.44254	0.12888	0.13122	0.52568	0.09896	0.09908	0.0989	0.16274	0.1595	0.12456	0.12584	0.35396	0.39256	0.12922	0.14004	0.54356	0.09926	0.1004	0.09832	0.45794	0.16642	0.17886	0.14496	0.54308	0.483	0.09858	0.09876	0.09892	0.09894	0.09984	0.09856	0.26354	0.19102	0.13966	0.1426	0.53766	0.4612	0.09902	0.0984	0.10176	0.09902	0.10002	0.09864	0.23942	0.1813	0.13954	0.12878	0.4738	0.4151	0.09952	0.099	0.10032	0.0994	0.09994	0.0986	0.09934	0.09928	0.09852	0.09936	0.09812	0.09836	0.0984	0.09898	0.0993	0.0998	0.09834
16	450	0.09852	0.10312	0.09922	0.09892	0.10724	0.09878	0.09876	0.09848	0.09864	0.09966	0.10058	0.1012	0.09936	0.18734	0.18226	0.1168	0.12728	0.80216	0.64594	0.12478	0.12678	0.65072	0.10008	0.10028	0.09954	0.1728	0.15774	0.13548	0.12476	0.55478	0.53362	0.12922	0.13154	0.6265	0.09888	0.09906	0.0988	0.17176	0.16906	0.12538	0.1267	0.42598	0.47386	0.12938	0.13994	0.64766	0.09924	0.1002	0.09832	0.54106	0.17578	0.19418	0.14594	0.63798	0.57678	0.09854	0.09872	0.0989	0.09892	0.09984	0.09856	0.31016	0.20978	0.14444	0.14378	0.64012	0.54938	0.09898	0.0984	0.10168	0.09896	0.1	0.09864	0.273	0.19648	0.14274	0.12962	0.56692	0.49986	0.09952	0.09898	0.10028	0.09932	0.09986	0.0985	0.09934	0.09928	0.09842	0.09928	0.0981	0.09828	0.09836	0.09894	0.09936	0.09974	0.0983
17	480	0.09856	0.10318	0.0992	0.09888	0.10702	0.09878	0.0987	0.09846	0.09862	0.09966	0.10064	0.10294	0.0993	0.19744	0.19448	0.11702	0.12784	0.91454	0.75796	0.12508	0.12644	0.76558	0.10004	0.10024	0.09934	0.1846	0.16712	0.13672	0.12478	0.65808	0.63764	0.12938	0.13134	0.73842	0.09882	0.09898	0.09874	0.18282	0.18094	0.12602	0.12736	0.5103	0.5678	0.12958	0.1395	0.76208	0.09914	0.10018	0.0982	0.633	0.18682	0.214	0.1467	0.73918	0.6809	0.09846	0.09862	0.09878	0.09878	0.09966	0.09846	0.36848	0.23332	0.15062	0.14484	0.752	0.65048	0.09886	0.0982	0.10162	0.0988	0.09994	0.09922	0.31604	0.21698	0.14652	0.1302	0.67124	0.59656	0.09938	0.0988	0.10016	0.09924	0.09976	0.0984	0.09922	0.09918	0.09838	0.09912	0.098	0.0982	0.09818	0.09882	0.09916	0.09964	0.09822
18	510	0.09858	0.10324	0.09924	0.09904	0.10734	0.09878	0.09872	0.0985	0.09866	0.09958	0.10058	0.10208	0.09932	0.2094	0.20902	0.11724	0.12832	1.02106	0.8743	0.12528	0.12634	0.88292	0.1	0.1003	0.09914	0.19988	0.17822	0.13792	0.12462	0.76886	0.75128	0.1297	0.13164	0.85642	0.0988	0.099	0.09878	0.1967	0.19632	0.12686	0.12804	0.60672	0.67458	0.12982	0.13948	0.87914	0.09914	0.1002	0.09818	0.73072	0.20008	0.24018	0.1479	0.83852	0.79508	0.0984	0.09854	0.09876	0.09876	0.09972	0.0985	0.43936	0.26462	0.15916	0.14624	0.86686	0.75998	0.0988	0.0983	0.10156	0.09888	0.09984	0.09858	0.36958	0.24372	0.15148	0.13114	0.78248	0.7053	0.09942	0.09882	0.10018	0.09924	0.09972	0.09844	0.0992	0.09918	0.0984	0.09918	0.098	0.09818	0.09816	0.09884	0.0992	0.0997	0.0982
19	540	0.09858	0.10304	0.09928	0.09902	0.1072	0.09878	0.09872	0.0985	0.09866	0.09962	0.10052	0.10222	0.09934	0.22358	0.22672	0.11748	0.12888	1.11532	0.98756	0.1256	0.12628	0.9914	0.1	0.10022	0.0991	0.219	0.19156	0.13916	0.12462	0.88372	0.87062	0.13002	0.13146	0.96774	0.09884	0.09906	0.09878	0.21346	0.21518	0.12776	0.12846	0.71192	0.78994	0.13012	0.13914	0.98936	0.099	0.1002	0.09824	0.82836	0.21718	0.27426	0.14902	0.93038	0.90582	0.09844	0.09862	0.09876	0.09882	0.09976	0.09846	0.52248	0.30494	0.17044	0.14738	0.97254	0.87218	0.0989	0.09826	0.10148	0.09886	0.0999	0.09848	0.43364	0.27862	0.15752	0.13194	0.89234	0.81918	0.09944	0.09886	0.10018	0.0993	0.09976	0.09838	0.09922	0.09914	0.09836	0.09918	0.098	0.09822	0.09818	0.09886	0.0992	0.09972	0.09826
20	570	0.09862	0.1032	0.0993	0.0992	0.10726	0.09894	0.09878	0.09866	0.09872	0.09968	0.10064	0.1024	0.09952	0.23934	0.24866	0.11778	0.1297	1.193	1.08738	0.126	0.1263	1.08562	0.10006	0.1003	0.09948	0.24196	0.20736	0.14056	0.12474	0.98788	0.97734	0.13034	0.13152	1.06608	0.09886	0.09908	0.0988	0.2343	0.23906	0.1287	0.12924	0.82138	0.90392	0.13052	0.13902	1.08432	0.09912	0.10022	0.0983	0.91644	0.23884	0.3189	0.15026	1.00798	1.00642	0.09848	0.0986	0.0988	0.09888	0.09978	0.09854	0.61418	0.35526	0.18544	0.14878	1.06392	0.97826	0.09892	0.09828	0.10168	0.09894	0.10002	0.09932	0.5075	0.3236	0.16532	0.13298	0.99166	0.92812	0.09948	0.09888	0.10022	0.09934	0.0998	0.09842	0.09926	0.09924	0.09844	0.09922	0.0981	0.09828	0.09828	0.09892	0.0995	0.0997	0.0983
