Sample
CASCLO_S01_rep01_D14_AmphoB
CASCLO_S01_rep02_D14_AmphoB
CASCLO_S01_rep03_D14_AmphoB
CASCLO_S01_rep04_D14_AmphoB
CASCLO_S01_rep05_D14_AmphoB
CASCLO_S01_rep06_D14_AmphoB
CASCLO_S01_rep07_D14_AmphoB
CASCLO_S01_rep08_D14_AmphoB
CASCLO_S01_rep09_D14_AmphoB
CASCLO_S01_rep10_D14_AmphoB
CASCLO_S01_rep11_D14_AmphoB
CASCLO_S01_rep12_D14_AmphoB
CASCLO_S01_rep01_D14_CASCLO
CASCLO_S01_rep02_D14_CASCLO
CASCLO_S01_rep03_D14_CASCLO
CASCLO_S01_rep04_D14_CASCLO
CASCLO_S01_rep05_D14_CASCLO
CASCLO_S01_rep06_D14_CASCLO
CASCLO_S01_rep07_D14_CASCLO
CASCLO_S01_rep08_D14_CASCLO
CASCLO_S01_rep09_D14_CASCLO
CASCLO_S01_rep10_D14_CASCLO
CASCLO_S01_rep11_D14_CASCLO
CASCLO_S01_rep12_D14_CASCLO
CASCLO_S01_rep01_D14_HighCAS
CASCLO_S01_rep02_D14_HighCAS
CASCLO_S01_rep03_D14_HighCAS
CASCLO_S01_rep04_D14_HighCAS
CASCLO_S01_rep05_D14_HighCAS
CASCLO_S01_rep06_D14_HighCAS
CASCLO_S01_rep07_D14_HighCAS
CASCLO_S01_rep08_D14_HighCAS
CASCLO_S01_rep09_D14_HighCAS
CASCLO_S01_rep10_D14_HighCAS
CASCLO_S01_rep11_D14_HighCAS
CASCLO_S01_rep12_D14_HighCAS
CASCLO_S01_rep01_D14_ND
CASCLO_S01_rep02_D14_ND
CASCLO_S01_rep03_D14_ND
CASCLO_S01_rep04_D14_ND
CASCLO_S01_rep05_D14_ND
CASCLO_S01_rep06_D14_ND
CASCLO_S01_rep07_D14_ND
CASCLO_S01_rep08_D14_ND
CASCLO_S01_rep09_D14_ND
CASCLO_S01_rep10_D14_ND
CASCLO_S01_rep11_D14_ND
CASCLO_S01_rep12_D14_ND
CAS_S03_rep01_D14_AmphoB
CAS_S03_rep02_D14_AmphoB
CAS_S03_rep03_D14_AmphoB
CAS_S03_rep04_D14_AmphoB
CAS_S03_rep05_D14_AmphoB
CAS_S03_rep06_D14_AmphoB
CAS_S03_rep07_D14_AmphoB
CAS_S03_rep08_D14_AmphoB
CAS_S03_rep09_D14_AmphoB
CAS_S03_rep10_D14_AmphoB
CAS_S03_rep11_D14_AmphoB
CAS_S03_rep12_D14_AmphoB
CAS_S03_rep01_D14_CASCLO
CAS_S03_rep02_D14_CASCLO
CAS_S03_rep03_D14_CASCLO
CAS_S03_rep04_D14_CASCLO
CAS_S03_rep05_D14_CASCLO
CAS_S03_rep06_D14_CASCLO
CAS_S03_rep07_D14_CASCLO
CAS_S03_rep08_D14_CASCLO
CAS_S03_rep09_D14_CASCLO
CAS_S03_rep10_D14_CASCLO
CAS_S03_rep11_D14_CASCLO
CAS_S03_rep12_D14_CASCLO
CAS_S03_rep01_D14_HighCAS
CAS_S03_rep02_D14_HighCAS
CAS_S03_rep03_D14_HighCAS
CAS_S03_rep04_D14_HighCAS
CAS_S03_rep05_D14_HighCAS
CAS_S03_rep06_D14_HighCAS
CAS_S03_rep07_D14_HighCAS
CAS_S03_rep08_D14_HighCAS
CAS_S03_rep09_D14_HighCAS
CAS_S03_rep10_D14_HighCAS
CAS_S03_rep11_D14_HighCAS
CAS_S03_rep12_D14_HighCAS
CAS_S03_rep01_D14_ND
CAS_S03_rep02_D14_ND
CAS_S03_rep03_D14_ND
CAS_S03_rep04_D14_ND
CAS_S03_rep05_D14_ND
CAS_S03_rep06_D14_ND
CAS_S03_rep07_D14_ND
CAS_S03_rep08_D14_ND
CAS_S03_rep09_D14_ND
CAS_S03_rep10_D14_ND
CAS_S03_rep11_D14_ND
CAS_S03_rep12_D14_ND
